"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Pseudomonas_aeruginosa_strain1","Pseudomonas_aeruginosa_strain2"
"group_3287","","hypothetical protein","2","2","1","1","2501","","","","527","527","527","HCGKCINC_04034","PIELJBDO_01077"
"COQ5","","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","2","2","1","1","3016","","","","611","611","611","HCGKCINC_00825","PIELJBDO_04388"
"group_3289","","hypothetical protein","2","2","1","1","301","","","","449","449","449","HCGKCINC_04682","PIELJBDO_04797"
"group_329","","putative protein","2","2","1","1","981","","","","935","935","935","HCGKCINC_05096","PIELJBDO_05320"
"hipO_2","","Hippurate hydrolase","2","2","1","1","209","","","","1220","1220","1220","HCGKCINC_04486","PIELJBDO_04601"
"FCS1_2","","Trans-feruloyl-CoA synthase FCS1","2","2","1","1","929","","","","2090","2090","2090","HCGKCINC_05150","PIELJBDO_05374"
"gabR_2","","HTH-type transcriptional regulatory protein GabR","2","2","1","1","464","","","","1475","1475","1475","HCGKCINC_05617","PIELJBDO_05843"
"group_3293","","putative FAD-dependent oxidoreductase","2","2","1","1","915","","","","1175","1175","1175","HCGKCINC_05164","PIELJBDO_05388"
"exuT_2","","Hexuronate transporter","2","2","1","1","2693","","","","1259","1259","1259","HCGKCINC_04226","PIELJBDO_00880"
"naiP","","Putative niacin/nicotinamide transporter NaiP","2","2","1","1","4180","","","","1367","1367","1367","HCGKCINC_03590","PIELJBDO_01540"
"group_3296","","hypothetical protein","2","2","1","1","5166","","","","542","542","542","HCGKCINC_02633","PIELJBDO_02573"
"group_3297","","hypothetical protein","2","2","1","1","5940","","","","1829","1829","1829","HCGKCINC_01866","PIELJBDO_03330"
"nphR","","Transcriptional activator NphR","2","2","1","1","2691","","","","959","959","959","HCGKCINC_04224","PIELJBDO_00882"
"group_3299","","hypothetical protein","2","2","1","1","1587","","","","938","938","938","HCGKCINC_00968","PIELJBDO_04240"
"group_33","","hypothetical protein","2","2","1","1","1700","","","","1328","1373","1350","HCGKCINC_00047","PIELJBDO_00046"
"group_330","","hypothetical protein","2","2","1","1","819","","","","821","878","849","HCGKCINC_05259","PIELJBDO_05483"
"group_3300","","hypothetical protein","2","2","1","1","937","","","","458","458","458","HCGKCINC_05142","PIELJBDO_05366"
"group_3301","","hypothetical protein","2","2","1","1","570","","","","1277","1277","1277","HCGKCINC_05506","PIELJBDO_05732"
"sucB","","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex","2","2","1","1","6171","","","","1229","1229","1229","HCGKCINC_01631","PIELJBDO_03570"
"group_3303","","hypothetical protein","2","2","1","1","4981","","","","479","479","479","HCGKCINC_02803","PIELJBDO_02357"
"iclR","","Transcriptional repressor IclR","2","2","1","1","1900","","","","779","779","779","HCGKCINC_00242","PIELJBDO_00233"
"mshA_4","","D-inositol-3-phosphate glycosyltransferase","2","2","1","1","446","","","","1145","1145","1145","HCGKCINC_05635","PIELJBDO_05861"
"pyrC_2","","Dihydroorotase","2","2","1","1","353","","","","1337","1337","1337","HCGKCINC_05728","PIELJBDO_05954"
"glgX","","Glycogen operon protein GlgX ","2","2","1","1","5570","","","","2150","2150","2150","HCGKCINC_02230","PIELJBDO_02977"
"btuB_11","","Vitamin B12 transporter BtuB","2","2","1","1","1011","","","","2969","2969","2969","HCGKCINC_05067","PIELJBDO_05291"
"group_3309","","hypothetical protein","2","2","1","1","1118","","","","482","482","482","HCGKCINC_04960","PIELJBDO_05181"
"group_331","","hypothetical protein","2","2","1","1","817","","","","824","881","852","HCGKCINC_05261","PIELJBDO_05484"
"group_3310","","putative HTH-type transcriptional regulator","2","2","1","1","3510","","","","506","506","506","HCGKCINC_01415","PIELJBDO_03772"
"slyA","","Transcriptional regulator SlyA","2","2","1","1","4311","","","","434","434","434","HCGKCINC_03460","PIELJBDO_01673"
"gcvA_1","","Glycine cleavage system transcriptional activator","2","2","1","1","1685","","","","899","899","899","HCGKCINC_00032","PIELJBDO_00032"
"fbp_2","","Fructose-1,6-bisphosphatase class 1","2","2","1","1","794","","","","1010","1010","1010","HCGKCINC_05283","PIELJBDO_05508"
"usg","","USG-1 protein ","2","2","1","1","4555","","","","1010","1010","1010","HCGKCINC_03225","PIELJBDO_01925"
"group_3315","","Metal reductase","2","2","1","1","920","","","","1946","1946","1946","HCGKCINC_05159","PIELJBDO_05383"
"sasA_11","","Adaptive-response sensory-kinase SasA","2","2","1","1","3280","","","","1616","1616","1616","HCGKCINC_01196","PIELJBDO_04012"
"group_3317","","hypothetical protein","2","2","1","1","3232","","","","623","623","623","HCGKCINC_01148","PIELJBDO_04060"
"group_3318","","8-oxoguanine deaminase","2","2","1","1","798","","","","1361","1361","1361","HCGKCINC_05279","PIELJBDO_05504"
"cyoB","","Cytochrome bo(3) ubiquinol oxidase subunit 1","2","2","1","1","3444","","","","1976","1976","1976","HCGKCINC_01358","PIELJBDO_03834"
"group_332","","Cardiolipin synthase","2","2","1","1","815","","","","2237","2237","2237","HCGKCINC_05262","PIELJBDO_05487"
"cheB2","","Protein-glutamate methylesterase/protein-glutamine glutaminase 2","2","2","1","1","1836","","","","1049","1049","1049","HCGKCINC_00178","PIELJBDO_00177"
"eptA_1","","Phosphoethanolamine transferase EptA","2","2","1","1","5769","","","","1703","1703","1703","HCGKCINC_02034","PIELJBDO_03165"
"cysG_2","","Siroheme synthase","2","2","1","1","4772","","","","1679","1679","1679","HCGKCINC_03006","PIELJBDO_02146"
"lacC","","Tagatose-6-phosphate kinase","2","2","1","1","4103","","","","944","944","944","HCGKCINC_03684","PIELJBDO_01464"
"sasA_8","","Adaptive-response sensory-kinase SasA","2","2","1","1","5048","","","","1337","1337","1337","HCGKCINC_02736","PIELJBDO_02426"
"rhtC_1","","Threonine efflux protein","2","2","1","1","6137","","","","641","641","641","HCGKCINC_01665","PIELJBDO_03536"
"yadH","","Inner membrane transport permease YadH","2","2","1","1","4872","","","","779","779","779","HCGKCINC_02911","PIELJBDO_02249"
"envZ","","Osmolarity sensor protein EnvZ","2","2","1","1","702","","","","1319","1319","1319","HCGKCINC_05377","PIELJBDO_05603"
"group_3328","","hypothetical protein","2","2","1","1","2045","","","","410","410","410","HCGKCINC_00377","PIELJBDO_00391"
"group_3329","","hypothetical protein","2","2","1","1","5736","","","","1430","1430","1430","HCGKCINC_02067","PIELJBDO_03132"
"group_333","","hypothetical protein","2","2","1","1","802","","","","938","938","938","HCGKCINC_05275","PIELJBDO_05500"
"COQ3_6","","Ubiquinone biosynthesis O-methyltransferase, mitochondrial","2","2","1","1","348","","","","1184","1184","1184","HCGKCINC_05733","PIELJBDO_05959"
"group_3331","","hypothetical protein","2","2","1","1","500","","","","977","977","977","HCGKCINC_05581","PIELJBDO_05807"
"group_3332","oprM_3","Outer membrane protein OprM","2","2","1","1","4143","","","","1475","1475","1475","HCGKCINC_03644","PIELJBDO_01504"
"styD","","Phenylacetaldehyde dehydrogenase","2","2","1","1","2670","","","","1487","1487","1487","HCGKCINC_04203","PIELJBDO_00906"
"group_3334","","hypothetical protein","2","2","1","1","5315","","","","1319","1319","1319","HCGKCINC_02486","PIELJBDO_02726"
"group_3335","","hypothetical protein","2","2","1","1","60","","","","650","650","650","HCGKCINC_04636","PIELJBDO_04750"
"aam_2","","Acylamidase","2","2","1","1","211","","","","1484","1484","1484","HCGKCINC_04484","PIELJBDO_04599"
"yjiA_2","","P-loop guanosine triphosphatase YjiA","2","2","1","1","1314","","","","1004","1004","1004","HCGKCINC_04756","PIELJBDO_04977"
"selB","","Selenocysteine-specific elongation factor","2","2","1","1","1105","","","","1925","1925","1925","HCGKCINC_04974","PIELJBDO_05196"
"group_3339","","hypothetical protein","2","2","1","1","111","","","","629","629","629","HCGKCINC_04585","PIELJBDO_04699"
"group_334","","hypothetical protein","2","2","1","1","778","","","","350","350","350","HCGKCINC_05299","PIELJBDO_05524"
"group_3340","","hypothetical protein","2","2","1","1","2669","","","","1490","1490","1490","HCGKCINC_04202","PIELJBDO_00907"
"group_3341","","hypothetical protein","2","2","1","1","4601","","","","938","938","938","HCGKCINC_03177","PIELJBDO_01974"
"group_3342","","hypothetical protein","2","2","1","1","5965","","","","611","611","611","HCGKCINC_01838","PIELJBDO_03359"
"group_3343","","hypothetical protein","2","2","1","1","437","","","","1301","1301","1301","HCGKCINC_05644","PIELJBDO_05870"
"nimR_2","","HTH-type transcriptional regulator NimR","2","2","1","1","3023","","","","788","788","788","HCGKCINC_00818","PIELJBDO_04395"
"nuoM","","NADH-quinone oxidoreductase subunit M","2","2","1","1","5056","","","","1529","1529","1529","HCGKCINC_02728","PIELJBDO_02434"
"lrp_4","","Leucine-responsive regulatory protein","2","2","1","1","41","","","","473","473","473","HCGKCINC_04654","PIELJBDO_04768"
"dctP_1","","C4-dicarboxylate-binding periplasmic protein DctP","2","2","1","1","1534","","","","995","995","995","HCGKCINC_00912","PIELJBDO_04296"
"group_3348","","hypothetical protein","2","2","1","1","1059","","","","866","866","866","HCGKCINC_05019","PIELJBDO_05242"
"group_3349","","hypothetical protein","2","2","1","1","2606","","","","857","857","857","HCGKCINC_04138","PIELJBDO_00970"
"group_335","","hypothetical protein","2","2","1","1","762","","","","260","260","260","HCGKCINC_05315","PIELJBDO_05540"
"siaM","","Sialic acid TRAP transporter large permease protein SiaM","2","2","1","1","2371","","","","1280","1280","1280","HCGKCINC_03905","PIELJBDO_01209"
"gcvA_9","","Glycine cleavage system transcriptional activator","2","2","1","1","603","","","","917","917","917","HCGKCINC_05473","PIELJBDO_05700"
"cdhR_6","","HTH-type transcriptional regulator CdhR","2","2","1","1","507","","","","1010","1010","1010","HCGKCINC_05574","PIELJBDO_05800"
"alg8","","Mannuronan synthase","2","2","1","1","4123","","","","1481","1481","1481","HCGKCINC_03664","PIELJBDO_01484"
"ppc","","Phosphoenolpyruvate carboxylase","2","2","1","1","3977","","","","2636","2636","2636","HCGKCINC_03811","PIELJBDO_01336"
"group_3355","","hypothetical protein","2","2","1","1","3876","","","","977","977","977","HCGKCINC_03895","PIELJBDO_01219"
"oprD_6","","Porin D","2","2","1","1","5001","","","","1307","1307","1307","HCGKCINC_02782","PIELJBDO_02380"
"group_3357","","hypothetical protein","2","2","1","1","5802","","","","1139","1139","1139","HCGKCINC_02002","PIELJBDO_03197"
"group_3358","","hypothetical protein","2","2","1","1","26","","","","2255","2255","2255","HCGKCINC_04669","PIELJBDO_04783"
"potF_2","","Putrescine-binding periplasmic protein","2","2","1","1","3538","","","","1091","1091","1091","HCGKCINC_01451","PIELJBDO_03748"
"group_336","","hypothetical protein","2","2","1","1","758","","","","236","236","236","HCGKCINC_05319","PIELJBDO_05544"
"betC","","Choline-sulfatase","2","2","1","1","1684","","","","1511","1511","1511","HCGKCINC_00031","PIELJBDO_00031"
"murB","","UDP-N-acetylenolpyruvoylglucosamine reductase","2","2","1","1","4694","","","","1019","1019","1019","HCGKCINC_03082","PIELJBDO_02069"
"group_3362","","hypothetical protein","2","2","1","1","5426","","","","1019","1019","1019","HCGKCINC_02376","PIELJBDO_02833"
"hxuB_2","","Heme/hemopexin transporter protein HuxB","2","2","1","1","1293","","","","1706","1706","1706","HCGKCINC_04777","PIELJBDO_04998"
"group_3364","","hypothetical protein","2","2","1","1","5294","","","","545","545","545","HCGKCINC_02507","PIELJBDO_02699"
"rarD_1","","Protein RarD","2","2","1","1","2163","","","","896","896","896","HCGKCINC_00497","PIELJBDO_00509"
"mltF_4","","Membrane-bound lytic murein transglycosylase F","2","2","1","1","3900","","","","1469","1472","1470","HCGKCINC_03888","PIELJBDO_01259"
"lolD_2","","Lipoprotein-releasing system ATP-binding protein LolD","2","2","1","1","4684","","","","683","683","683","HCGKCINC_03092","PIELJBDO_02059"
"fliD","","B-type flagellar hook-associated protein 2","2","2","1","1","3215","","","","1424","1424","1424","HCGKCINC_01131","PIELJBDO_04077"
"prfA_1","","Peptide chain release factor RF1","2","2","1","1","1250","","","","1082","1082","1082","HCGKCINC_04820","PIELJBDO_05041"
"cynR_4","","HTH-type transcriptional regulator HdfR","2","2","1","1","723","","","","881","920","900","HCGKCINC_05356","PIELJBDO_05582"
"acrC_1","","Acryloyl-CoA reductase (NADH)","2","2","1","1","3071","","","","1163","1163","1163","HCGKCINC_00771","PIELJBDO_04443"
"group_3371","","hypothetical protein","2","2","1","1","2049","","","","1487","1487","1487","HCGKCINC_00381","PIELJBDO_00395"
"tolA","","Tol-Pal system protein TolA","2","2","1","1","1624","","","","1043","1043","1043","HCGKCINC_01005","PIELJBDO_04203"
"ispU","","Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)","2","2","1","1","4012","","","","755","755","755","HCGKCINC_03776","PIELJBDO_01371"
"cysS","","Cysteine--tRNA ligase","2","2","1","1","5960","","","","1382","1382","1382","HCGKCINC_01843","PIELJBDO_03354"
"msrQ","","Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ","2","2","1","1","1223","","","","608","608","608","HCGKCINC_04854","PIELJBDO_05075"
"group_3376","","hypothetical protein","2","2","1","1","4250","","","","1133","1133","1133","HCGKCINC_03520","PIELJBDO_01609"
"feaR","","Transcriptional activator FeaR","2","2","1","1","2667","","","","950","950","950","HCGKCINC_04200","PIELJBDO_00909"
"group_3378","","hypothetical protein","2","2","1","1","4582","","","","965","965","965","HCGKCINC_03195","PIELJBDO_01955"
"ydjJ","","putative zinc-type alcohol dehydrogenase-like protein YdjJ","2","2","1","1","2753","","","","1091","1091","1091","HCGKCINC_04285","PIELJBDO_00828"
"fdhD","","Sulfur carrier protein FdhD","2","2","1","1","722","","","","839","839","839","HCGKCINC_05357","PIELJBDO_05583"
"copA_1","","Copper-exporting P-type ATPase","2","2","1","1","2516","","","","2378","2378","2378","HCGKCINC_04049","PIELJBDO_01059"
"ttuD","","Putative hydroxypyruvate reductase","2","2","1","1","3629","","","","1265","1265","1265","HCGKCINC_01541","PIELJBDO_03659"
"group_3382","","hypothetical protein","2","2","1","1","5788","","","","1022","1022","1022","HCGKCINC_02016","PIELJBDO_03183"
"phnH","","Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH","2","2","1","1","4271","","","","629","629","629","HCGKCINC_03499","PIELJBDO_01630"
"bioF","","8-amino-7-oxononanoate synthase","2","2","1","1","2180","","","","1205","1205","1205","HCGKCINC_00513","PIELJBDO_00523"
"cysL_3","","HTH-type transcriptional regulator CysL","2","2","1","1","514","","","","893","893","893","HCGKCINC_05567","PIELJBDO_05793"
"sutA","","Transcriptional regulator SutA","2","2","1","1","611","","","","317","317","317","HCGKCINC_05465","PIELJBDO_05692"
"fecA_2","","Fe(3+) dicitrate transport protein FecA","2","2","1","1","4387","","","","2165","2165","2165","HCGKCINC_03384","PIELJBDO_01749"
"yeaD_1","","Putative glucose-6-phosphate 1-epimerase","2","2","1","1","4478","","","","851","851","851","HCGKCINC_03296","PIELJBDO_01859"
"group_3389","","hypothetical protein","2","2","1","1","2624","","","","893","893","893","HCGKCINC_04156","PIELJBDO_00952"
"group_339","","hypothetical protein","2","2","1","1","719","","","","407","407","407","HCGKCINC_05360","PIELJBDO_05586"
"group_3390","rhlA_1","3-(3-hydroxydecanoyloxy)decanoate synthase","2","2","1","1","4168","","","","887","887","887","HCGKCINC_03602","PIELJBDO_01528"
"oprD_5","","Porin D","2","2","1","1","5224","","","","1346","1346","1346","HCGKCINC_02576","PIELJBDO_02631"
"pucI_3","","putative allantoin permease","2","2","1","1","805","","","","1442","1442","1442","HCGKCINC_05272","PIELJBDO_05497"
"secD_2","","Protein translocase subunit SecD","2","2","1","1","1196","","","","476","476","476","HCGKCINC_04881","PIELJBDO_05102"
"nimR_4","","HTH-type transcriptional regulator NimR","2","2","1","1","3230","","","","779","779","779","HCGKCINC_01146","PIELJBDO_04062"
"glcA","","Glycolate permease GlcA","2","2","1","1","1144","","","","1682","1688","1685","HCGKCINC_04935","PIELJBDO_05156"
"hisP_1","","Histidine transport ATP-binding protein HisP","2","2","1","1","4748","","","","767","767","767","HCGKCINC_03029","PIELJBDO_02123"
"nhaB","","Na(+)/H(+) antiporter NhaB","2","2","1","1","5931","","","","1502","1502","1502","HCGKCINC_01875","PIELJBDO_03321"
"amgK","","N-acetylmuramate/N-acetylglucosamine kinase","2","2","1","1","2279","","","","1016","1016","1016","HCGKCINC_00611","PIELJBDO_00622"
"nosZ","","Nitrous-oxide reductase","2","2","1","1","4258","","","","1910","1910","1910","HCGKCINC_03512","PIELJBDO_01617"
"group_34","","hypothetical protein","2","2","1","1","1707","","","","137","137","137","HCGKCINC_00054","PIELJBDO_00053"
"group_340","","hypothetical protein","2","2","1","1","716","","","","443","443","443","HCGKCINC_05363","PIELJBDO_05589"
"trmD","","tRNA (guanine-N(1)-)-methyltransferase","2","2","1","1","3921","","","","758","758","758","HCGKCINC_03867","PIELJBDO_01280"
"group_3401","","hypothetical protein","2","2","1","1","350","","","","2024","2024","2024","HCGKCINC_05731","PIELJBDO_05957"
"group_3402","","hypothetical protein","2","2","1","1","252","","","","1265","1265","1265","HCGKCINC_04443","PIELJBDO_04558"
"rlmN_2","","Dual-specificity RNA methyltransferase RlmN","2","2","1","1","5910","","","","1040","1040","1040","HCGKCINC_01896","PIELJBDO_03300"
"group_3404","","hypothetical protein","2","2","1","1","5399","","","","1067","1067","1067","HCGKCINC_02404","PIELJBDO_02806"
"group_3405","","hypothetical protein","2","2","1","1","4406","","","","809","809","809","HCGKCINC_03363","PIELJBDO_01770"
"ubiB","","putative protein kinase UbiB","2","2","1","1","840","","","","1601","1601","1601","HCGKCINC_05238","PIELJBDO_05462"
"group_3407","","hypothetical protein","2","2","1","1","6095","","","","1007","1007","1007","HCGKCINC_01707","PIELJBDO_03490"
"argP_3","","HTH-type transcriptional regulator ArgP","2","2","1","1","3269","","","","902","902","902","HCGKCINC_01185","PIELJBDO_04024"
"ubiI","","2-octaprenylphenol hydroxylase","2","2","1","1","680","","","","1217","1217","1217","HCGKCINC_05399","PIELJBDO_05625"
"group_341","","hypothetical protein","2","2","1","1","649","","","","578","578","578","HCGKCINC_05430","PIELJBDO_05656"
"leuO","","HTH-type transcriptional regulator LeuO","2","2","1","1","5613","","","","905","905","905","HCGKCINC_02187","PIELJBDO_03020"
"ycaL","","Metalloprotease LoiP","2","2","1","1","1951","","","","758","758","758","HCGKCINC_00283","PIELJBDO_00296"
"rlmG","","Ribosomal RNA large subunit methyltransferase G","2","2","1","1","1301","","","","1124","1124","1124","HCGKCINC_04769","PIELJBDO_04990"
"abaF","","Fosfomycin resistance protein AbaF","2","2","1","1","4068","","","","1409","1409","1409","HCGKCINC_03719","PIELJBDO_01428"
"degP","","Periplasmic serine endoprotease DegP","2","2","1","1","3050","","","","1424","1424","1424","HCGKCINC_00792","PIELJBDO_04422"
"group_3415","","hypothetical protein","2","2","1","1","2258","","","","3737","3737","3737","HCGKCINC_00590","PIELJBDO_00601"
"bicA","","Bicarbonate transporter BicA","2","2","1","1","5161","","","","1487","1487","1487","HCGKCINC_02638","PIELJBDO_02568"
"mmsA_1","","Methylmalonate-semialdehyde dehydrogenase [acylating]","2","2","1","1","3070","","","","1508","1508","1508","HCGKCINC_00772","PIELJBDO_04442"
"group_3418","","hypothetical protein","2","2","1","1","946","","","","1538","1538","1538","HCGKCINC_05133","PIELJBDO_05357"
"phoA","","Alkaline phosphatase H","2","2","1","1","4359","","","","1430","1430","1430","HCGKCINC_03412","PIELJBDO_01721"
"group_342","","hypothetical protein","2","2","1","1","646","","","","1058","1058","1058","HCGKCINC_05433","PIELJBDO_05659"
"holA","","DNA polymerase III subunit delta","2","2","1","1","2587","","","","1037","1037","1037","HCGKCINC_04119","PIELJBDO_00988"
"group_3421","","hypothetical protein","2","2","1","1","4849","","","","491","491","491","HCGKCINC_02927","PIELJBDO_02224"
"pdxA2","","D-erythronate 4-phosphate dehydrogenase","2","2","1","1","5517","","","","1013","1013","1013","HCGKCINC_02285","PIELJBDO_02932"
"pqsB","","2-heptyl-4(1H)-quinolone synthase subunit PqsB","2","2","1","1","3114","","","","851","851","851","HCGKCINC_01030","PIELJBDO_04178"
"adh_1","","Aldehyde dehydrogenase","2","2","1","1","2619","","","","1520","1520","1520","HCGKCINC_04151","PIELJBDO_00957"
"betA_1","","Oxygen-dependent choline dehydrogenase","2","2","1","1","5610","","","","1637","1637","1637","HCGKCINC_02190","PIELJBDO_03017"
"group_3426","","hypothetical protein","2","2","1","1","4841","","","","446","446","446","HCGKCINC_02935","PIELJBDO_02216"
"group_3427","","hypothetical protein","2","2","1","1","5043","","","","893","893","893","HCGKCINC_02741","PIELJBDO_02421"
"gltC_3","","HTH-type transcriptional regulator GltC","2","2","1","1","4215","","","","893","893","893","HCGKCINC_03555","PIELJBDO_01574"
"group_3429","","hypothetical protein","2","2","1","1","5429","","","","1451","1451","1451","HCGKCINC_02373","PIELJBDO_02836"
"mip","","Peptidyl-prolyl cis-trans isomerase Mip","2","2","1","1","645","","","","629","629","629","HCGKCINC_05434","PIELJBDO_05660"
"group_3430","","hypothetical protein","2","2","1","1","6080","","","","320","320","320","HCGKCINC_01722","PIELJBDO_03475"
"group_3431","","hypothetical protein","2","2","1","1","3145","","","","476","476","476","HCGKCINC_01062","PIELJBDO_04146"
"group_3432","","hypothetical protein","2","2","1","1","4977","","","","1829","1829","1829","HCGKCINC_02807","PIELJBDO_02353"
"group_3433","","hypothetical protein","2","2","1","1","4310","","","","1016","1016","1016","HCGKCINC_03461","PIELJBDO_01672"
"group_3434","","hypothetical protein","2","2","1","1","6100","","","","1556","1556","1556","HCGKCINC_01702","PIELJBDO_03495"
"crt_2","","Short-chain-enoyl-CoA hydratase","2","2","1","1","4919","","","","968","968","968","HCGKCINC_02863","PIELJBDO_02297"
"group_3436","sasA_3","Adaptive-response sensory-kinase SasA","2","2","1","1","4456","","","","1337","1337","1337","HCGKCINC_03318","PIELJBDO_01837"
"ydjF","","Phage shock protein A ","2","2","1","1","3934","","","","695","695","695","HCGKCINC_03854","PIELJBDO_01293"
"proP_1","","Proline/betaine transporter","2","2","1","1","2927","","","","1316","1316","1316","HCGKCINC_00724","PIELJBDO_04497"
"group_3439","","hypothetical protein","2","2","1","1","5363","","","","1484","1484","1484","HCGKCINC_02440","PIELJBDO_02774"
"group_344","","hypothetical protein","2","2","1","1","623","","","","698","713","705","HCGKCINC_05453","PIELJBDO_05680"
"group_3440","","hypothetical protein","2","2","1","1","5475","","","","986","986","986","HCGKCINC_02327","PIELJBDO_02880"
"infB","","Translation initiation factor IF-2","2","2","1","1","1169","","","","2522","2522","2522","HCGKCINC_04908","PIELJBDO_05129"
"hscA","","Chaperone protein HscA","2","2","1","1","2401","","","","1859","1859","1859","HCGKCINC_03935","PIELJBDO_01179"
"group_3443","","hypothetical protein","2","2","1","1","6087","","","","3527","3527","3527","HCGKCINC_01715","PIELJBDO_03482"
"btuB_3","","Vitamin B12 transporter BtuB","2","2","1","1","4241","","","","2675","2675","2675","HCGKCINC_03529","PIELJBDO_01600"
"gbpR_1","","HTH-type transcriptional regulator GbpR","2","2","1","1","1816","","","","917","917","917","HCGKCINC_00158","PIELJBDO_00157"
"group_3446","","hypothetical protein","2","2","1","1","2919","","","","1706","1706","1706","HCGKCINC_00716","PIELJBDO_04505"
"rlmH","","Ribosomal RNA large subunit methyltransferase H","2","2","1","1","2601","","","","467","467","467","HCGKCINC_04133","PIELJBDO_00975"
"group_3448","","putative oxidoreductase/MSMEI_2347","2","2","1","1","3010","","","","821","821","821","HCGKCINC_00831","PIELJBDO_04382"
"group_3449","","hypothetical protein","2","2","1","1","2662","","","","518","518","518","HCGKCINC_04195","PIELJBDO_00914"
"group_345","","hypothetical protein","2","2","1","1","568","","","","389","389","389","HCGKCINC_05508","PIELJBDO_05734"
"cbiA","","Cobyrinate a,c-diamide synthase","2","2","1","1","3400","","","","1307","1307","1307","HCGKCINC_01313","PIELJBDO_03879"
"msrC","","Free methionine-R-sulfoxide reductase","2","2","1","1","4852","","","","482","482","482","HCGKCINC_02924","PIELJBDO_02227"
"cbiO","","Cobalt import ATP-binding protein CbiO","2","2","1","1","1047","","","","857","857","857","HCGKCINC_05031","PIELJBDO_05254"
"soxB","","Sarcosine oxidase subunit beta","2","2","1","1","479","","","","1250","1250","1250","HCGKCINC_05602","PIELJBDO_05828"
"group_3454","","hypothetical protein","2","2","1","1","914","","","","812","812","812","HCGKCINC_05165","PIELJBDO_05389"
"msbA","","Lipid A export ATP-binding/permease protein MsbA","2","2","1","1","909","","","","1811","1811","1811","HCGKCINC_05170","PIELJBDO_05394"
"group_3456","","hypothetical protein","2","2","1","1","888","","","","2699","2699","2699","HCGKCINC_05190","PIELJBDO_05414"
"glxR_1","","CRP-like cAMP-activated global transcriptional regulator","2","2","1","1","2206","","","","683","683","683","HCGKCINC_00539","PIELJBDO_00549"
"bolA","","DNA-binding transcriptional regulator BolA","2","2","1","1","1506","","","","305","305","305","HCGKCINC_00884","PIELJBDO_04324"
"rocC","","Amino-acid permease RocC","2","2","1","1","926","","","","1412","1412","1412","HCGKCINC_05153","PIELJBDO_05377"
"ubiC","","Chorismate pyruvate-lyase","2","2","1","1","539","","","","536","536","536","HCGKCINC_05537","PIELJBDO_05763"
"yhjE","","Inner membrane metabolite transport protein YhjE","2","2","1","1","3915","","","","1313","1313","1313","HCGKCINC_03873","PIELJBDO_01274"
"group_3461","","hypothetical protein","2","2","1","1","2570","","","","647","647","647","HCGKCINC_04103","PIELJBDO_01005"
"group_3462","fabG_9","3-oxoacyl-[acyl-carrier-protein] reductase FabG","2","2","1","1","2762","","","","716","716","716","HCGKCINC_04294","PIELJBDO_00819"
"phzB1","","Phenazine biosynthesis protein PhzB1","2","2","1","1","2818","","","","488","488","488","HCGKCINC_04343","PIELJBDO_00769"
"tagG","","Teichoic acid translocation permease protein TagG","2","2","1","1","5025","","","","803","803","803","HCGKCINC_02759","PIELJBDO_02403"
"group_3465","","hypothetical protein","2","2","1","1","4116","","","","1562","1562","1562","HCGKCINC_03671","PIELJBDO_01477"
"gcvH_2","","Glycine cleavage system H protein","2","2","1","1","1116","","","","467","467","467","HCGKCINC_04962","PIELJBDO_05183"
"group_3467","","hypothetical protein","2","2","1","1","513","","","","1067","1067","1067","HCGKCINC_05568","PIELJBDO_05794"
"pdhC","","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","2","2","1","1","4233","","","","1112","1112","1112","HCGKCINC_03537","PIELJBDO_01592"
"zntB_2","","Zinc transport protein ZntB","2","2","1","1","5873","","","","1022","1022","1022","HCGKCINC_01932","PIELJBDO_03264"
"group_347","","hypothetical protein","2","2","1","1","491","","","","233","233","233","HCGKCINC_05590","PIELJBDO_05816"
"arnT_1","","Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase","2","2","1","1","4108","","","","1649","1649","1649","HCGKCINC_03679","PIELJBDO_01469"
"group_3473","","putative protein","2","2","1","1","1213","","","","1562","1562","1562","HCGKCINC_04864","PIELJBDO_05085"
"group_3474","","hypothetical protein","2","2","1","1","6151","","","","476","476","476","HCGKCINC_01651","PIELJBDO_03550"
"group_3475","","hypothetical protein","2","2","1","1","751","","","","689","689","689","HCGKCINC_05327","PIELJBDO_05553"
"group_3476","","hypothetical protein","2","2","1","1","5520","","","","1013","1013","1013","HCGKCINC_02282","PIELJBDO_02935"
"panS_2","","Pantothenate precursors transporter PanS","2","2","1","1","6106","","","","893","893","893","HCGKCINC_01696","PIELJBDO_03505"
