"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Klebsiella_pneumoniae_strain1","Klebsiella_pneumoniae_strain2"
"ccmC","","Heme exporter protein C","2","2","1","95","607","","","","737","737","737","JODDOAAB_02870","MDIKJABB_04409"
"mutL","","DNA mismatch repair protein MutL","2","2","1","91","190","","","","1859","1859","1859","JODDOAAB_02416","MDIKJABB_03193"
"chiQ","","putative lipoprotein ChiQ","2","2","1","93","551","","","","332","332","332","JODDOAAB_01249","MDIKJABB_00753"
"ssuA_3","","Putative aliphatic sulfonates-binding protein","2","2","1","93","290","","","","962","962","962","JODDOAAB_03215","MDIKJABB_03971"
"hslO","","33 kDa chaperonin","2","2","1","92","51","","","","878","878","878","JODDOAAB_00419","MDIKJABB_01257"
"group_4938","","putative periplasmic iron-binding protein","2","2","1","94","302","","","","917","917","917","JODDOAAB_03486","MDIKJABB_01780"
"ygeA","","L-aspartate/glutamate-specific racemase","2","2","1","94","129","","","","713","713","713","JODDOAAB_02661","MDIKJABB_01946"
"group_4940","","hypothetical protein","2","2","1","95","2238","","","","704","704","704","JODDOAAB_03408","MDIKJABB_01116"
"group_4941","","hypothetical protein","2","2","1","94","555","","","","671","671","671","JODDOAAB_04024","MDIKJABB_02537"
"umuC_4","","Protein UmuC","2","2","1","85","5","","","","1304","1304","1304","JODDOAAB_05188","MDIKJABB_05201"
"yedA","","putative inner membrane transporter YedA","2","2","1","95","1697","","","","911","911","911","JODDOAAB_01835","MDIKJABB_04676"
"caiT","","L-carnitine/gamma-butyrobetaine antiporter","2","2","1","93","222","","","","1607","1607","1607","JODDOAAB_03166","MDIKJABB_04739"
"cysZ","","Sulfate transporter CysZ","2","2","1","95","1408","","","","761","761","761","JODDOAAB_01535","MDIKJABB_01467"
"csrD","","RNase E specificity factor CsrD","2","2","1","94","25","","","","1940","1940","1940","JODDOAAB_04121","MDIKJABB_01537"
"ahcY","","Adenosylhomocysteinase","2","2","1","95","1796","","","","1109","1109","1109","JODDOAAB_01875","MDIKJABB_04186"
"rbsK_4","","Ribokinase","2","2","1","90","38","","","","932","932","932","JODDOAAB_04442","MDIKJABB_03413"
"mutY","","Adenine DNA glycosylase","2","2","1","94","504","","","","1058","1058","1058","JODDOAAB_04080","MDIKJABB_02490"
"rcsC_1","","Sensor histidine kinase RcsC","2","2","1","95","1981","","","","2840","2840","2840","JODDOAAB_01415","MDIKJABB_01012"
"gstB_2","","Glutathione S-transferase GstB","2","2","1","92","313","","","","623","623","623","JODDOAAB_00513","MDIKJABB_01162"
"dapB","","4-hydroxy-tetrahydrodipicolinate reductase","2","2","1","94","1120","","","","821","821","821","JODDOAAB_00849","MDIKJABB_00495"
"msbA_2","","Lipid A export ATP-binding/permease protein MsbA","2","2","1","93","341","","","","1721","1721","1721","JODDOAAB_01033","MDIKJABB_03258"
"nudG","","CTP pyrophosphohydrolase","2","2","1","95","182","","","","410","410","410","JODDOAAB_03813","MDIKJABB_04198"
"lvr","","Levodione reductase","2","2","1","95","823","","","","773","773","773","JODDOAAB_02167","MDIKJABB_03839"
"metQ_4","","D-methionine-binding lipoprotein MetQ","2","2","1","95","1070","","","","806","806","806","JODDOAAB_03908","MDIKJABB_05429"
"group_4957","bglA_1","Aryl-phospho-beta-D-glucosidase BglA","2","2","1","93","413","","","","1376","1376","1376","JODDOAAB_01105","MDIKJABB_04337"
"kdgT","","2-keto-3-deoxygluconate permease","2","2","1","93","99","","","","1019","1019","1019","JODDOAAB_05340","MDIKJABB_03956"
"rpoB","","DNA-directed RNA polymerase subunit beta","2","2","1","83","8","","","","4028","4028","4028","JODDOAAB_04884","MDIKJABB_04624"
"opgE","","Phosphoethanolamine transferase OpgE","2","2","1","93","417","","","","1580","1580","1580","JODDOAAB_01109","MDIKJABB_04341"
"dgaE","","D-glucosaminate-6-phosphate ammonia lyase","2","2","1","91","120","","","","1118","1118","1118","JODDOAAB_02347","MDIKJABB_03122"
"ccmE","","Cytochrome c-type biogenesis protein CcmE","2","2","1","95","609","","","","458","458","458","JODDOAAB_02868","MDIKJABB_04407"
"yheS_1","","putative ABC transporter ATP-binding protein YheS","2","2","1","92","16","","","","1904","1904","1904","JODDOAAB_00385","MDIKJABB_01292"
"gss","","Bifunctional glutathionylspermidine synthetase/amidase","2","2","1","94","523","","","","1865","1865","1865","JODDOAAB_04056","MDIKJABB_02505"
"proP_2","","Proline/betaine transporter","2","2","1","91","344","","","","1502","1502","1502","JODDOAAB_02477","MDIKJABB_02360"
"group_4966","","hypothetical protein","2","2","1","95","806","","","","968","968","968","JODDOAAB_02150","MDIKJABB_05137"
"dsdC_2","","HTH-type transcriptional regulator DsdC","2","2","1","95","281","","","","899","899","899","JODDOAAB_03713","MDIKJABB_05188"
"group_4968","msiK_1","Diacetylchitobiose uptake system ATP-binding protein MsiK","2","2","1","95","805","","","","701","701","701","JODDOAAB_02149","MDIKJABB_05136"
"group_4969","","hypothetical protein","2","2","1","94","696","","","","410","410","410","JODDOAAB_04823","MDIKJABB_01656"
"group_4970","","hypothetical protein","2","2","1","94","519","","","","344","344","344","JODDOAAB_04060","MDIKJABB_02501"
"aspA","","Aspartate ammonia-lyase","2","2","1","91","226","","","","1436","1436","1436","JODDOAAB_02455","MDIKJABB_02338"
"yecS_2","","L-cystine transport system permease protein YecS","2","2","1","95","925","","","","656","656","656","JODDOAAB_02273","MDIKJABB_04146"
"rsd","","Regulator of sigma D","2","2","1","83","31","","","","497","497","497","JODDOAAB_04896","MDIKJABB_04612"
"group_4974","","hypothetical protein","2","2","1","94","586","","","","485","485","485","JODDOAAB_03644","MDIKJABB_02569"
"dtpT","","Di-/tripeptide transporter","2","2","1","94","79","","","","1553","1553","1553","JODDOAAB_02611","MDIKJABB_01898"
"ais","","Aconitate isomerase","2","2","1","95","1552","","","","806","806","806","JODDOAAB_01689","MDIKJABB_02801"
"appA","","Oligopeptide-binding protein AppA","2","2","1","95","669","","","","1703","1703","1703","JODDOAAB_02010","MDIKJABB_02892"
"nuoG","","NADH-quinone oxidoreductase subunit G","2","2","1","95","2015","","","","2726","2726","2726","JODDOAAB_01449","MDIKJABB_01046"
"group_4979","","hypothetical protein","2","2","1","94","674","","","","602","602","602","JODDOAAB_04801","MDIKJABB_01678"
"murC","","UDP-N-acetylmuramate--L-alanine ligase","2","2","1","94","1060","","","","1475","1475","1475","JODDOAAB_00905","MDIKJABB_00551"
"ybhS","","putative multidrug ABC transporter permease YbhS","2","2","1","93","441","","","","1133","1133","1133","JODDOAAB_01133","MDIKJABB_04290"
"ahpF","","Alkyl hydroperoxide reductase subunit F","2","2","1","93","598","","","","1565","1565","1565","JODDOAAB_01302","MDIKJABB_00807"
"truB","","tRNA pseudouridine synthase B","2","2","1","94","736","","","","944","944","944","JODDOAAB_04207","MDIKJABB_01615"
"group_4984","","hypothetical protein","2","2","1","72","5","","","","836","836","836","JODDOAAB_05330","MDIKJABB_05491"
"chbG","","Chitooligosaccharide deacetylase ChbG","2","2","1","95","206","","","","758","758","758","JODDOAAB_03789","MDIKJABB_03809"
"group_4986","","hypothetical protein","2","2","1","95","1787","","","","335","335","335","JODDOAAB_01866","MDIKJABB_04177"
"rsmE","","Ribosomal RNA small subunit methyltransferase E","2","2","1","94","487","","","","731","731","731","JODDOAAB_04097","MDIKJABB_02473"
"hypD","","Hydrogenase maturation factor HypD","2","2","1","94","314","","","","1121","1121","1121","JODDOAAB_03498","MDIKJABB_01792"
"ftsH","","ATP-dependent zinc metalloprotease FtsH","2","2","1","94","748","","","","1934","1943","1938","JODDOAAB_04193","MDIKJABB_01601"
"mdtM_1","","Multidrug resistance protein MdtM","2","2","1","94","822","","","","1241","1241","1241","JODDOAAB_00727","MDIKJABB_04826"
"amnD","","2-aminomuconate deaminase","2","2","1","95","499","","","","368","368","368","JODDOAAB_02977","MDIKJABB_02275"
"emrA_3","","Colistin resistance protein EmrA","2","2","1","95","2304","","","","1085","1085","1085","JODDOAAB_03323","MDIKJABB_04493"
"lacG_1","","Lactose transport system permease protein LacG","2","2","1","92","91","","","","845","845","845","JODDOAAB_00458","MDIKJABB_01217"
"ggt","","Glutathione hydrolase proenzyme","2","2","1","92","87","","","","1745","1745","1745","JODDOAAB_00454","MDIKJABB_01221"
"group_4995","","hypothetical protein","2","2","1","94","610","","","","650","650","650","JODDOAAB_03624","MDIKJABB_02589"
"rclR","","RCS-specific HTH-type transcriptional activator RclR","2","2","1","95","1065","","","","944","944","944","JODDOAAB_03903","MDIKJABB_03408"
"group_4997","","ISNCY family transposase ISSen7","2","2","1","93","826","","","","899","899","899","JODDOAAB_00146","MDIKJABB_00123"
"ddrA_2","","Diol dehydratase-reactivating factor alpha subunit","2","2","1","94","646","","","","1823","1823","1823","JODDOAAB_04773","MDIKJABB_01706"
"serC","","Phosphoserine aminotransferase","2","2","1","93","324","","","","1088","1088","1088","JODDOAAB_03249","MDIKJABB_03241"
"pdeB_1","","putative cyclic di-GMP phosphodiesterase PdeB","2","2","1","93","849","","","","1097","1559","1328","JODDOAAB_00168","MDIKJABB_00145"
"rafR","","HTH-type transcriptional regulator RafR","2","2","1","89","32","","","","995","995","995","JODDOAAB_04500","MDIKJABB_03537"
"licH_1","","putative 6-phospho-beta-glucosidase","2","2","1","91","110","","","","1307","1307","1307","JODDOAAB_02337","MDIKJABB_03112"
"group_5002","","hypothetical protein","2","2","1","90","85","","","","1061","1061","1061","JODDOAAB_04395","MDIKJABB_03460"
"pntA","","NAD(P) transhydrogenase subunit alpha","2","2","1","95","2265","","","","1529","1529","1529","JODDOAAB_03362","MDIKJABB_04366"
"mntP","","putative manganese efflux pump MntP","2","2","1","95","1609","","","","566","566","566","JODDOAAB_01746","MDIKJABB_02745"
"phrB","","Deoxyribodipyrimidine photo-lyase","2","2","1","93","535","","","","1442","1442","1442","JODDOAAB_01234","MDIKJABB_00738"
"ulaF","","L-ribulose-5-phosphate 4-epimerase UlaF","2","2","1","91","167","","","","686","686","686","JODDOAAB_02393","MDIKJABB_03170"
"acoR","","Acetoin dehydrogenase operon transcriptional activator AcoR","2","2","1","94","385","","","","1787","1787","1787","JODDOAAB_03574","MDIKJABB_01868"
"rihA","","Pyrimidine-specific ribonucleoside hydrolase RihA","2","2","1","95","780","","","","935","935","935","JODDOAAB_02124","MDIKJABB_04583"
"prlC","","Oligopeptidase A","2","2","1","92","317","","","","2042","2042","2042","JODDOAAB_00509","MDIKJABB_01166"
"group_5010","yajO_4","1-deoxyxylulose-5-phosphate synthase YajO","2","2","1","95","973","","","","986","986","986","JODDOAAB_05263","MDIKJABB_03336"
"group_5011","","hypothetical protein","2","2","1","92","158","","","","467","467","467","JODDOAAB_00667","MDIKJABB_02079"
"hypA","","Hydrogenase maturation factor HypA","2","2","1","94","317","","","","344","344","344","JODDOAAB_03501","MDIKJABB_01795"
"aglB","","6-phospho-alpha-glucosidase","2","2","1","90","30","","","","1322","1322","1322","JODDOAAB_04380","MDIKJABB_03476"
"katE","","Catalase HPII","2","2","1","95","207","","","","2258","2258","2258","JODDOAAB_03788","MDIKJABB_03808"
"group_5015","ascG_1","HTH-type transcriptional regulator","2","2","1","92","124","","","","944","944","944","JODDOAAB_00701","MDIKJABB_05297"
"ybjI","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI","2","2","1","93","385","","","","812","812","812","JODDOAAB_01077","MDIKJABB_03301"
"yjeH","","L-methionine/branched-chain amino acid exporter YjeH","2","2","1","91","224","","","","1250","1250","1250","JODDOAAB_02453","MDIKJABB_02336"
"mrdA_2","","Peptidoglycan D,D-transpeptidase MrdA","2","2","1","95","873","","","","1910","1910","1910","JODDOAAB_02223","MDIKJABB_03890"
"exuT_1","","Hexuronate transporter","2","2","1","93","407","","","","1301","1301","1301","JODDOAAB_01099","MDIKJABB_04331"
"yehW","","Glycine betaine uptake system permease protein YehW","2","2","1","95","1906","","","","737","737","737","JODDOAAB_01967","MDIKJABB_00939"
"priA","","Primosomal protein N'","2","2","1","89","77","","","","2195","2195","2195","JODDOAAB_04472","MDIKJABB_03565"
"rsmJ","","Ribosomal RNA small subunit methyltransferase J","2","2","1","92","318","","","","752","752","752","JODDOAAB_00508","MDIKJABB_01167"
"ygfF","","putative oxidoreductase YgfF","2","2","1","81","18","","","","743","743","743","JODDOAAB_04959","MDIKJABB_04754"
"lpxB","","Lipid-A-disaccharide synthase","2","2","1","94","960","","","","1151","1151","1151","JODDOAAB_01005","MDIKJABB_00651"
"group_5025","","hypothetical protein","2","2","1","95","1279","","","","638","638","638","JODDOAAB_01641","MDIKJABB_01308"
"cobT_2","","Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase","2","2","1","95","1797","","","","1067","1067","1067","JODDOAAB_01876","MDIKJABB_04187"
"group_5027","","hypothetical protein","2","2","1","95","789","","","","1007","1007","1007","JODDOAAB_02133","MDIKJABB_04574"
"group_5028","","hypothetical protein","2","2","1","95","129","","","","1166","1166","1166","JODDOAAB_05147","MDIKJABB_02703"
"rfaF","","ADP-heptose--LPS heptosyltransferase 2","2","2","1","92","217","","","","1019","1019","1019","JODDOAAB_00609","MDIKJABB_02141"
"ycbX","","putative protein YcbX","2","2","1","93","286","","","","1109","1109","1109","JODDOAAB_03211","MDIKJABB_03975"
"outN","","Type II secretion system protein N","2","2","1","94","1005","","","","746","746","746","JODDOAAB_00960","MDIKJABB_00606"
"group_5032","","hypothetical protein","2","2","1","95","793","","","","509","509","509","JODDOAAB_02137","MDIKJABB_04570"
"tcdA","","tRNA threonylcarbamoyladenosine dehydratase","2","2","1","94","215","","","","821","821","821","JODDOAAB_02751","MDIKJABB_02023"
"prmA","","Ribosomal protein L11 methyltransferase","2","2","1","94","17","","","","881","881","881","JODDOAAB_04113","MDIKJABB_01529"
"dpaL","","Diaminopropionate ammonia-lyase","2","2","1","93","299","","","","1211","1211","1211","JODDOAAB_03224","MDIKJABB_03962"
"mobB","","Molybdopterin-guanine dinucleotide biosynthesis adapter protein","2","2","1","89","1","","","","506","506","506","JODDOAAB_04531","MDIKJABB_03506"
"yejB","","Inner membrane ABC transporter permease protein YejB","2","2","1","95","1954","","","","1094","1094","1094","JODDOAAB_01377","MDIKJABB_00984"
"chbF","","6-phospho-beta-glucosidase","2","2","1","95","205","","","","1346","1346","1346","JODDOAAB_03790","MDIKJABB_03810"
"group_5039","","hypothetical protein","2","2","1","91","254","","","","509","509","509","JODDOAAB_02565","MDIKJABB_02449"
"yahB","","putative HTH-type transcriptional regulator YahB","2","2","1","95","690","","","","1004","1004","1004","JODDOAAB_02034","MDIKJABB_02916"
"rffG","","dTDP-glucose 4,6-dehydratase 2","2","2","1","88","32","","","","1067","1067","1067","JODDOAAB_04680","MDIKJABB_03654"
"group_5042","","hypothetical protein","2","2","1","85","81","","","","461","461","461","JODDOAAB_05178","MDIKJABB_05211"
"srmB","","ATP-dependent RNA helicase SrmB","2","2","1","95","1244","","","","1331","1331","1331","JODDOAAB_01674","MDIKJABB_04073"
"group_5044","","IS5 family transposase IS4811","2","2","1","95","682","","","","926","926","926","JODDOAAB_02023","MDIKJABB_02905"
"namA_2","","NADPH dehydrogenase","2","2","1","95","1190","","","","2777","2777","2777","JODDOAAB_03442","MDIKJABB_02992"
"ydgI","","Putative arginine/ornithine antiporter","2","2","1","95","2267","","","","1382","1382","1382","JODDOAAB_03360","MDIKJABB_04368"
"ydiB_2","","Quinate/shikimate dehydrogenase","2","2","1","95","548","","","","836","836","836","JODDOAAB_02929","MDIKJABB_02322"
"pckA_2","","Phosphoenolpyruvate carboxykinase (ATP)","2","2","1","95","1556","","","","1643","1643","1643","JODDOAAB_01693","MDIKJABB_02797"
"yhhX","","putative oxidoreductase YhhX","2","2","1","92","83","","","","1037","1037","1037","JODDOAAB_00451","MDIKJABB_01224"
"group_5050","cusC_2","Cation efflux system protein CusC","2","2","1","95","92","","","","1385","1385","1385","JODDOAAB_05103","MDIKJABB_02686"
"lsrB_1","","Autoinducer 2-binding protein LsrB","2","2","1","94","665","","","","1001","1001","1001","JODDOAAB_04792","MDIKJABB_01687"
"fldB","","Flavodoxin 2","2","2","1","94","55","","","","521","521","521","JODDOAAB_02585","MDIKJABB_05149"
"thiQ","","Thiamine import ATP-binding protein ThiQ","2","2","1","94","1090","","","","701","701","701","JODDOAAB_00875","MDIKJABB_00521"
"group_5054","","hypothetical protein","2","2","1","87","47","","","","635","635","635","JODDOAAB_04729","MDIKJABB_05573"
"group_5055","","hypothetical protein","2","2","1","95","2246","","","","3077","3077","3077","JODDOAAB_03416","MDIKJABB_01108"
"argB","","Acetylglutamate kinase","2","2","1","89","59","","","","773","773","773","JODDOAAB_04454","MDIKJABB_03582"
"rbsC_3","","Ribose import permease protein RbsC","2","2","1","93","627","","","","998","998","998","JODDOAAB_01331","MDIKJABB_00836"
"frmA","","S-(hydroxymethyl)glutathione dehydrogenase","2","2","1","95","737","","","","1118","1118","1118","JODDOAAB_02081","MDIKJABB_02963"
"ygcS","","Inner membrane metabolite transport protein YgcS","2","2","1","94","237","","","","1421","1421","1421","JODDOAAB_02773","MDIKJABB_02045"
"sufB","","FeS cluster assembly protein SufB","2","2","1","95","536","","","","1487","1487","1487","JODDOAAB_02941","MDIKJABB_02310"
"yqjI","","Transcriptional regulator YqjI","2","2","1","94","661","","","","554","554","554","JODDOAAB_04788","MDIKJABB_01691"
"ybdG_1","","Miniconductance mechanosensitive channel YbdG","2","2","1","93","673","","","","1256","1256","1256","JODDOAAB_00008","MDIKJABB_00881"
"group_5063","","hypothetical protein","2","2","1","93","765","","","","1034","1034","1034","JODDOAAB_00089","MDIKJABB_00063"
"ulaD","","3-keto-L-gulonate-6-phosphate decarboxylase UlaD","2","2","1","91","169","","","","650","650","650","JODDOAAB_02395","MDIKJABB_03172"
"araC_2","","Arabinose operon regulatory protein","2","2","1","91","148","","","","872","872","872","JODDOAAB_02374","MDIKJABB_03151"
"bglA_3","","6-phospho-beta-glucosidase BglA","2","2","1","81","13","","","","1433","1433","1433","JODDOAAB_04964","MDIKJABB_04749"
"pgpC","","Phosphatidylglycerophosphatase C","2","2","1","95","1261","","","","635","635","635","JODDOAAB_01658","MDIKJABB_04090"
"norG_1","","HTH-type transcriptional regulator NorG","2","2","1","93","853","","","","1427","1427","1427","JODDOAAB_00173","MDIKJABB_00149"
"ubiI","","2-octaprenylphenol hydroxylase","2","2","1","81","22","","","","1202","1202","1202","JODDOAAB_04955","MDIKJABB_04758"
"menD","","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase","2","2","1","95","2004","","","","1670","1670","1670","JODDOAAB_01438","MDIKJABB_01035"
"group_5071","pgrR_1","HTH-type transcriptional regulator PgrR","2","2","1","95","972","","","","908","908","908","JODDOAAB_05262","MDIKJABB_03335"
"group_5072","","hypothetical protein","2","2","1","95","1963","","","","1286","1286","1286","JODDOAAB_01386","MDIKJABB_00993"
"fabG_9","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","2","2","1","95","330","","","","755","755","755","JODDOAAB_03263","MDIKJABB_04040"
"hiuH","","5-hydroxyisourate hydrolase","2","2","1","93","787","","","","401","401","401","JODDOAAB_00105","MDIKJABB_00085"
"lpdC","","Gallate decarboxylase","2","2","1","95","2156","","","","1508","1508","1508","JODDOAAB_04590","MDIKJABB_04651"
"yhhJ","","Inner membrane transport permease YhhJ","2","2","1","94","802","","","","1124","1124","1124","JODDOAAB_00706","MDIKJABB_04806"
"agp_2","","Glucose-1-phosphatase","2","2","1","93","208","","","","1247","1247","1247","JODDOAAB_03152","MDIKJABB_04725"
"group_5078","","hypothetical protein","2","2","1","95","581","","","","392","392","392","JODDOAAB_02896","MDIKJABB_04876"
"cbpA","","Curved DNA-binding protein","2","2","1","91","351","","","","917","917","917","JODDOAAB_02470","MDIKJABB_02353"
"cho","","Excinuclease cho","2","2","1","95","198","","","","863","863","863","JODDOAAB_03797","MDIKJABB_03817"
"group_5081","","Endo-4-O-sulfatase","2","2","1","95","1334","","","","1868","1868","1868","JODDOAAB_01609","MDIKJABB_01393"
"guaD_2","","Guanine deaminase","2","2","1","95","897","","","","1310","1310","1310","JODDOAAB_02247","MDIKJABB_04118"
"gspK","","Putative type II secretion system protein K","2","2","1","94","1002","","","","986","986","986","JODDOAAB_00963","MDIKJABB_00609"
"msbA_1","","Lipid A export ATP-binding/permease protein MsbA","2","2","1","93","318","","","","1748","1748","1748","JODDOAAB_03243","MDIKJABB_03235"
"acrB_2","","Multidrug efflux pump subunit AcrB","2","2","1","95","1365","","","","3113","3113","3113","JODDOAAB_01578","MDIKJABB_01424"
"lldD_2","","L-lactate dehydrogenase","2","2","1","95","531","","","","1184","1184","1184","JODDOAAB_02946","MDIKJABB_02307"
"mnmE","","tRNA modification GTPase MnmE","2","2","1","90","77","","","","1364","1364","1364","JODDOAAB_04403","MDIKJABB_03452"
"hycE","","Formate hydrogenlyase subunit 5","2","2","1","94","322","","","","1709","1709","1709","JODDOAAB_03506","MDIKJABB_01800"
"kup","","Low affinity potassium transport system protein kup","2","2","1","90","43","","","","1868","1868","1868","JODDOAAB_04437","MDIKJABB_03418"
"thlA_1","","Acetyl-CoA acetyltransferase","2","2","1","94","114","","","","1178","1178","1178","JODDOAAB_02646","MDIKJABB_01932"
"ypdA","","Sensor histidine kinase YpdA","2","2","1","95","1426","","","","1697","1697","1697","JODDOAAB_01511","MDIKJABB_01491"
"epmB","","L-lysine 2,3-aminomutase","2","2","1","91","211","","","","1028","1028","1028","JODDOAAB_02440","MDIKJABB_03217"
"rimM","","Ribosome maturation factor RimM","2","2","1","94","434","","","","548","548","548","JODDOAAB_03659","MDIKJABB_04522"
"phnV_1","","Putative 2-aminoethylphosphonate transport system permease protein PhnV","2","2","1","90","2","","","","797","797","797","JODDOAAB_04352","MDIKJABB_03504"
"rhtA","","Threonine/homoserine exporter RhtA","2","2","1","93","419","","","","887","887","887","JODDOAAB_01111","MDIKJABB_04343"
"group_5096","","hypothetical protein","2","2","1","95","426","","","","536","536","536","JODDOAAB_03052","MDIKJABB_02200"
"group_5097","","putative protein","2","2","1","92","323","","","","1148","1148","1148","JODDOAAB_00503","MDIKJABB_01172"
"yejF","","putative ABC transporter ATP-binding protein YejF","2","2","1","95","1956","","","","1589","1589","1589","JODDOAAB_01379","MDIKJABB_00986"
"arsH","","NADPH-dependent FMN reductase ArsH","2","2","1","95","72","","","","713","713","713","JODDOAAB_05198","MDIKJABB_02666"
"sfsA","","Sugar fermentation stimulation protein A","2","2","1","94","1009","","","","716","716","716","JODDOAAB_00956","MDIKJABB_00602"
"mak_1","","Fructokinase","2","2","1","93","938","","","","914","914","914","JODDOAAB_00258","MDIKJABB_00234"
"ushA","","Protein UshA","2","2","1","93","812","","","","1652","1652","1652","JODDOAAB_00132","MDIKJABB_00109"
"oadB","","Oxaloacetate decarboxylase beta chain","2","2","1","94","797","","","","1301","1301","1301","JODDOAAB_04145","MDIKJABB_00486"
"sbnD_1","","Staphyloferrin B transporter","2","2","1","93","950","","","","1199","1199","1199","JODDOAAB_00270","MDIKJABB_00246"
"group_5105","","hypothetical protein","2","2","1","94","174","","","","350","350","350","JODDOAAB_02706","MDIKJABB_01991"
"rbsK_2","","Ribokinase","2","2","1","95","962","","","","872","872","872","JODDOAAB_02309","MDIKJABB_03325"
"group_5107","","hypothetical protein","2","2","1","79","1","","","","959","959","959","JODDOAAB_05089","MDIKJABB_05070"
"chbR","","HTH-type transcriptional regulator ChbR","2","2","1","95","204","","","","824","824","824","JODDOAAB_03791","MDIKJABB_03811"
"kgtP_1","","Alpha-ketoglutarate permease","2","2","1","95","1553","","","","1295","1295","1295","JODDOAAB_01690","MDIKJABB_02800"
"rbsA_4","","Ribose import ATP-binding protein RbsA","2","2","1","90","41","","","","1505","1505","1505","JODDOAAB_04439","MDIKJABB_03416"
"ubiJ_2","","Ubiquinone biosynthesis accessory factor UbiJ","2","2","1","88","70","","","","605","605","605","JODDOAAB_04638","MDIKJABB_03605"
"pglJ","","N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase","2","2","1","92","209","","","","1094","1094","1094","JODDOAAB_00617","MDIKJABB_02133"
"ynfM","","Inner membrane transport protein YnfM","2","2","1","95","1167","","","","1250","1250","1250","JODDOAAB_03465","MDIKJABB_03015"
"tatD","","3'-5' ssDNA/RNA exonuclease TatD","2","2","1","88","83","","","","791","791","791","JODDOAAB_04633","MDIKJABB_03600"
"lldR_3","","Putative L-lactate dehydrogenase operon regulatory protein","2","2","1","92","232","","","","773","773","773","JODDOAAB_00594","MDIKJABB_02156"
"pduX","","L-threonine kinase","2","2","1","94","160","","","","902","902","902","JODDOAAB_02692","MDIKJABB_01977"
"licR","","putative licABCH operon regulator","2","2","1","91","117","","","","1910","1910","1910","JODDOAAB_02344","MDIKJABB_03119"
"repB","","RepFIB replication protein A","2","2","1","95","130","","","","1010","1010","1010","JODDOAAB_05146","MDIKJABB_02702"
"araD","","L-ribulose-5-phosphate 4-epimerase AraD","2","2","1","94","1095","","","","695","695","695","JODDOAAB_00870","MDIKJABB_00516"
"rhmD","","L-rhamnonate dehydratase","2","2","1","95","1994","","","","1205","1205","1205","JODDOAAB_01428","MDIKJABB_01025"
"group_5121","","hypothetical protein","2","2","1","95","963","","","","845","845","845","JODDOAAB_02310","MDIKJABB_03326"
"xylP","","Isoprimeverose transporter","2","2","1","95","801","","","","1382","1382","1382","JODDOAAB_02145","MDIKJABB_05132"
"fepC","","Ferric enterobactin transport ATP-binding protein FepC","2","2","1","93","655","","","","794","794","794","JODDOAAB_01349","MDIKJABB_00863"
"group_5124","","hypothetical protein","2","2","1","93","179","","","","395","395","395","JODDOAAB_03140","MDIKJABB_04460"
"ybiB","","putative protein YbiB","2","2","1","93","430","","","","968","968","968","JODDOAAB_01122","MDIKJABB_04279"
"entS","","Enterobactin exporter EntS","2","2","1","93","652","","","","1241","1241","1241","JODDOAAB_01346","MDIKJABB_00860"
"treS","","Trehalose synthase/amylase TreS","2","2","1","95","854","","","","1625","1625","1625","JODDOAAB_02197","MDIKJABB_03869"
"truA","","tRNA pseudouridine synthase A","2","2","1","95","2049","","","","812","812","812","JODDOAAB_01483","MDIKJABB_01080"
"group_5129","gudP_2","putative glucarate transporter","2","2","1","93","436","","","","1331","1331","1331","JODDOAAB_01128","MDIKJABB_04285"
"group_5130","","hypothetical protein","2","2","1","95","1675","","","","638","638","638","JODDOAAB_01810","MDIKJABB_04701"
"group_5131","","hypothetical protein","2","2","1","95","1080","","","","320","320","320","JODDOAAB_03918","MDIKJABB_03099"
"iolI","","Inosose isomerase","2","2","1","91","90","","","","821","821","821","JODDOAAB_02317","MDIKJABB_05038"
"yghU","","Disulfide-bond oxidoreductase YghU","2","2","1","94","525","","","","866","866","866","JODDOAAB_04054","MDIKJABB_02507"
"ndmA","","Methylxanthine N1-demethylase NdmA","2","2","1","95","1062","","","","1037","1037","1037","JODDOAAB_03900","MDIKJABB_03405"
"tsaR_3","","HTH-type transcriptional regulator TsaR","2","2","1","95","1203","","","","908","908","908","JODDOAAB_03429","MDIKJABB_04356"
"mmsB","","putative 3-hydroxyisobutyrate dehydrogenase","2","2","1","95","1034","","","","875","875","875","JODDOAAB_03872","MDIKJABB_03377"
"nikD","","Nickel import ATP-binding protein NikD","2","2","1","92","327","","","","764","764","764","JODDOAAB_00499","MDIKJABB_01176"
"ddpA_1","","putative D,D-dipeptide-binding periplasmic protein DdpA","2","2","1","93","680","","","","1568","1568","1568","JODDOAAB_00015","MDIKJABB_00888"
